person_id,label,text
1078,birth_date,07.07.1268
956,passport_number,889286
1796,passport_id,5747 698043
1667,noise,МЕСТО ЖИTЕЛЬСТВА
180,surname,ОСИПОВ
1642,passport_id,7475137512
521,passport_number,001582
1496,passport_series,1953
1503,noise,KОД П0ДРАЗДЕЛЕНNЯ
1069,birth_place,Г. КАНЕВСКАЯ
437,birth_place,Г. ЗАБАЙКАЛЬСK
72,noise,КОD ПОДРAЗДЕЛЕНIЯ
1770,passport_id,6586 561126
1027,passport_number,118112
80,surname,ВАСИЛЬЕВА
1030,birth_date,14.09.2007
286,issue_date,30.10.2011
923,passport_series,7453
1457,birth_date,08.17.1982
1284,passport_series,9889
347,birth_date,06.01.1985
1175,gender,ЖЕН.
690,birth_date,03.01.1987
127,birth_place,Г. ЖЕЛЕЗНОГОРСK(КУРСК.)
1823,surname,КРАСИЛЬНИКОВ
1534,gender,MУЖ
290,patronymic,ФЕОДОСЬЕВИЧ
1608,birth_date,05.06.1975
258,patronymic,ВАJЕРЬЯНОВИЧ
614,noise,23.04.2000
226,issued_by,УПРАВЛЕНИЕ ВНУТРЕHНИХ ДЕL ПО ТУЛЬСКOЙ ОБЛАСТИ
85,passport_series,4063
674,gender,ЖЕН/
659,passport_id,9295179182
135,noise,448-774
634,birth_date,22-04-1991
275,passport_series,8172
1773,passport_number,467597
672,birth_date,04.12.1994
1278,noise,<<<<<<<<<<<<<<<<
614,passport_series,0731
1119,passport_number,448404
567,passport_id,6488 792403
1576,birth_date,25.11.1975
1943,passport_id,6632709549
368,patronymic,ДМИТРИЕВИЧ
237,passport_series,3293
98,noise,ЛИЧНЫЙ KОД
1204,passport_number,702191
838,firstname,АВКСЕНТИЙ
896,noise,Р0ССИЙСКАЯ ФЕДЕРАЦИЯ
1407,birth_place,Г. УСМАНЬ
1377,department_code,051-073
781,issue_date,30.03.2003
235,department_code,442-342
880,noise,<<<<<<<<<<<<<<<<
348,department_code,911-506
1575,department_code,782-724
41,department_code,321-347
1097,passport_series,6058
554,issue_date,28.07.2015
802,noise,РОССИЙСКАЯ ФЕДЕРАЦИЯ
407,firstname,ФОМА
1934,department_code,152-043
335,surname,МАРКОВ
1446,patronymic,БОРИСЛАВОВИЧ
907,passport_id,9346 305839
1172,noise,183696
573,noise,329238
739,noise,ПОDПИСЬ ВLАДЕЛЬЦА
959,issue_date,11.08.2006
831,department_code,483-696
1352,noise,21.06.1920
560,birth_date,21.04.1999
1129,noise,836-424
1701,birth_date,07.07.1962
50,patronymic,ГЛЕБ0ВИЧ
1373,passport_series,0932
1855,noise,ПАСПОРТ
421,passport_number,806641
917,passport_series,8455
1111,passport_number,942943
392,department_code,572-787
1073,department_code,642-030
386,noise,ПАСПОРТ
504,noise,19.04.1966
1582,issued_by,УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ П0 РOСТOВСКОЙ ОБЛАСТИ В Г. ВОЛГОДОНСК
1859,patronymic,ФЕЛИКСОВНА
68,surname,СУББОТИНА
1007,issue_date,18.11.2021
1324,birth_date,37.01.1978
315,birth_date,30.08.2007
616,issued_by,ОТДЕЛEНИЕ УФМС РОССИИ ПО НОВГОРОДСКОЙ ОБLАСТИ В Г. ВЕЛИКИЙ НОВГОРОД
1642,surname,ШЕСTАК0В
1132,department_code,382-130
1612,department_code,951-298
1859,passport_id,9875 794477
1645,surname,САЗОНОВ
931,noise,ОТДЕЛЕНИЕ
127,noise,ДАТА BЫДАЧИ
897,noise,PNRUS<<<<<<<<<<<
1638,issue_date,19.03.2010
952,gender,МУЖ.
995,birth_place,Г. ВЫТЕГРА
1951,passport_number,630692
1837,birth_place,Г. АСИН0
355,issued_by,УПРАBЛЕНИЕ М8Д PОССИИ ПО ТВЕРСКОЙ ОБЛАСТИ В Г. РЖЕB
461,passport_number,716412
1121,birth_date,13-09-2007
636,passport_number,454691
1464,passport_number,201571
811,birth_place,Г. ТУРА
1282,passport_number,414561
552,department_code,532-565
988,noise,09.06.1929
921,surname,ЮДИН
1222,department_code,643-041
1419,noise,15/12/1964
1733,surname,ШЕСTАКОВА
1025,noise,31/01/2519
1821,surname,HОСКОВ
1140,noise,06.07.2049
1494,patronymic,СТАНИCЛАВОBНА
1540,firstname,ПИМЕН
356,issue_date,11.11.2011
1772,passport_series,4435
1323,noise,ДАТА ВЫДAЧИ
1443,department_code,482-870
1498,surname,АКСЕНОВ
515,passport_id,7562558145
421,firstname,АНАСТАСИЯ
798,issued_by,ОТДЕЛ МВД РОССИИ ПО РЯЗАНСКОЙ ОБЛАCТИ
1048,passport_id,1996142037
794,firstname,LЮДМИЛА
887,issue_date,13.10.2005
677,surname,DОРОФЕЕВ
518,passport_series,0586
1409,noise,30.03.1918
239,department_code,672-024
1299,passport_id,8180 630660
1338,department_code,853-608
1024,passport_id,9837079544
148,issued_by,ПAСПОРТНЫЙ СТОЛ ОВД ПО РЕСПУБЛИКЕ МАРИЙ ЭJ В Г. ЙОШКАР-ОЛА
1967,noise,ПАСПОРТ
673,birth_date,07.06.2007
1734,noise,ОТДЕJЕНИЕ
346,issue_date,07.06.2922
393,issued_by,0ТДЕЛ МВД РОССИИ ПО КАЛИНИНГРAДСКОЙ О6ЛАСТИ В Г. ЧЕРНЯХ0ВСК
1148,passport_id,3794391653
796,noise,РОССIЙСКАЯ ФЕДЕРАЦИЯ
1290,patronymic,ПАВЛОВНА
742,passport_id,1562590088
1296,passport_series,3147
618,passport_number,248966
1054,noise,11.07.1990
934,noise,275840
1020,noise,<<<<<<<<<<<<<<<<
1400,birth_place,Г. БОЛОГОЕ
1001,passport_series,1232
582,birth_date,26.08.2000
501,passport_series,5658
40,birth_date,30.08.1967
277,department_code,131-580
1623,noise,<<<<<<<<<<<<<<<<
938,passport_number,912315
1619,noise,31.07.1994
879,passport_series,9295
1184,department_code,383-445
1160,firstname,ЛЮБОМИР
1986,noise,РОССИЙСKАЯ ФEDЕPAЦИЯ
1930,passport_series,1672
1568,passport_series,4396
628,passport_number,665361
1100,noise,09.01.1955
1626,birth_date,15.17.1998
570,noise,ПАСПОРТ
1348,passport_number,271331
1000,noise,914-100
51,noise,276-173
371,noise,209317
1957,noise,28 02 1579
64,noise,637-323
1357,birth_date,20.07.1993
1280,issue_date,24.01.2024
1903,passport_number,540733
1504,passport_series,4276
1061,noise,PNRUS<<<<<<<<<<<
572,patronymic,АНАТОЛЬЕВИЧ
157,patronymic,ФЕОДОCЬЕВИЧ
1760,passport_id,7684923914
1351,noise,ЛИЧНЫЙ КОД
626,passport_id,0965 738152
900,birth_place,Г. МАЛГОБЕК
1942,surname,САФОНОВА
1917,issue_date,15.02.2014
1289,department_code,352-966
1419,issue_date,24.08.2017
1543,noise,РОССИЙCКАЯ ФЕДЕРАЦИЯ
387,department_code,583-295
1446,passport_series,7028
1845,issued_by,УПРАВЛЕНИЕ ПО ВОПРОСАМ МNГРАЦИИ МВД РОССIИ ПО ТOМСКОЙ ОБЛАСТИ В Г. СЕВEРСК
21,issued_by,УПРАВЛEНИЕ П0 80ПPОСАМ МИГРАЦИИ МBД РОССИИ ПО РЕСПУБЛИКЕ ДАГEСТАН B Г. ХАСAВЮРТ
1422,noise,КОД ПОDРАЗДEЛЕНИЯ
300,issued_by,ПАСПОPТНЫЙ СТОЛ OВД ПО ЕBPEЙСKОЙ АВTОНОМНОЙ О6ЛАСТИ В Г. БИРОБИДЖАН
775,birth_date,03.07.1965
1955,birth_date,26.11.1985
274,passport_number,087359
1222,birth_date,03.05.1981
174,birth_date,31-10-1992
1164,passport_id,1039596645
198,noise,17.05.1970
1609,passport_number,776144
347,noise,ЛИЧНЫЙ КОД
367,noise,465625
819,passport_number,612283
1405,issued_by,ПАСПОРТНЫЙ СТОЛ ОВД ПO РЕСПУБЛИКЕ КАРEЛИЯ В Г. СЕГЕЖА
1077,birth_place,Г. НИЖНИЙ TAГIЛ
677,issued_by,ПАСПОРТНЫЙ СТ0Л ОВД ПО АМУРСК0Й ОБЛАСТИ В Г- СВОБОДНЫЙ
1963,issue_date,18-07-2021
1140,passport_series,7160
1151,patronymic,ГАВРИИЛОВИЧ
1010,passport_number,475832
1527,issue_date,02.12.2021
293,passport_id,0669 238940
80,passport_number,375754
588,birth_date,13.89.1946
535,issue_date,10.05.2005
1850,passport_series,5580
1563,birth_place,Г  ПЕТРОЗАВОДСК
1907,noise,007548
504,patronymic,ГЕННAДЬЕВНА
1347,birth_date,09.08.1989
1540,department_code,263-246
1685,birth_date,10.06.1985
1936,issue_date,12.09.2036
145,passport_id,1887409174
1481,noise,687-482
303,patronymic,LЕОНИДОВНА
1766,issue_date,09.08.2013
172,patronymic,AРТУРOВИЧ
513,noise,<<<<<<<<<<<<<<<<
142,noise,908-585
127,passport_series,7288
231,noise,669-767
1699,department_code,183-025
1305,birth_date,27.13.1998
43,passport_id,6369794316
198,issued_by,ОТДЕЛ ПОЛИЦИИ УМВД PОССИИ ПО КУРСКОЙ ОБЛАСТИ
1809,passport_number,634695
1981,surname,БИРЮКОВ
1989,noise,934-148
729,noise,PОССИЙСKАЯ ФЕДЕРАЦИЯ
510,gender,ЖЕН.
107,noise,404-578
1873,passport_number,972130
1713,firstname,АМОС
1605,gender,ЖЕН
259,birth_date,03.01.1509
1522,birth_place,Г- НЯГАНЬ
1330,issued_by,ПAСПОРТНО-ВИЗОВАЯ СЛУЖБА О8Д ПО СМОЛЕНСКОЙ ОБЛАСТИ В Г. РОСЛАВЛЬ
1784,passport_number,789571
871,issue_date,15/09/9019
126,noise,ОТДЕЛЕНИЕ
949,issued_by,УПРАВЛЕНИЕ ПO ВОПPОСАМ МИГРАЦИИ МВД РОССИИ ПО ИВАНОВСКОЙ ОБЛАСТИ В Г. КИНЕШМА
692,department_code,962-257
1396,issued_by,ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ КОMИ
1694,birth_date,02.03.1977
12,birth_place,Г. УЛЬЯНОВCК
530,passport_id,0485766194
661,passport_number,154851
1470,department_code,353-933
1139,birth_place,Г. ТАЙШЕТ
1623,noise,640-303
176,patronymic,ТNMОФЕЕВНА
494,noise,МЕCТО ЖИTEЛЬСТВА
1774,gender,ЖЕН
83,birth_place,Г. КАМЕНЬ-НА-ОБИ
1710,birth_place,Г. ГЕЛЕНДЖИК
293,gender,МУЖ.
696,noise,ЛИЧНЫЙ КОД
1235,noise,PNRUS<<<<<<<<<<<
1519,passport_number,534816
1118,surname,САBЕЛЬЕВ
740,passport_series,9542
1488,noise,01.04.1987
585,department_code,720-327
1183,noise,ДАТА ВЫDАЧИ
415,issued_by,УПРАВЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ МВД РОССИИ ПО ХАНТЫ-МАНСИЙСКОМУ АВТОНОМНОМУ ОКРУГУ — ЮГРЕ
1433,birth_date,08.05.2007
1858,department_code,832-948
1840,noise,PNRUS<<<<<<<<<<<
1730,birth_date,29.04.1961
1025,issue_date,13.06.2020
795,issue_date,14.01.2020
1670,firstname,ГАЛИНА
1673,birth_date,07.06.1999
1603,department_code,213-586
664,department_code,612-963
254,birth_place,Г. ЯМБУРГ
626,department_code,661-011
1294,patronymic,КУЗЬМИНNЧНА
876,department_code,073-076
1212,issued_by,ОТДЕЛ МВД РОССИИ ПО ОМСКОЙ О6ЛАСТИ В Г. ТАРА
1655,firstname,EКАТЕРIНА
208,passport_id,7372896481
956,department_code,442-448
1877,passport_series,1381
1729,firstname,ВAЛЕРИЯ
1447,birth_date,29.10.1987
13,issued_by,ОТДЕЛEНИЕ УФМС РОССИИ ПО PEСПУБЛИКЕ АЛТАЙ
955,passport_number,513975
909,noise,PNRUS<<<<<<<<<<<
783,birth_date,30/10/1967
47,patronymic,ХАРИТОНОВНА
1315,birth_date,17.06.2005
930,birth_date,03.06.1975
1309,firstname,АНАCТAСИЯ
928,noise,PОССИЙСКАЯ ФЕДЕРАЦИЯ
404,passport_number,739259
365,gender,ЖEH
523,noise,<<<<<<<<<<<<<<<<
496,noise,448695
1184,department_code,383-445
1984,patronymic,МАТВЕЕВНА
715,issue_date,23.08.2002
1067,noise,042061
1325,noise,PNRUS<<<<<<<<<<<
15,passport_id,4879 023671
44,passport_series,3545
1792,noise,КОД П0ДРАЗДЕЛЕНIЯ
781,noise,188-151
1920,passport_series,3328
1864,noise,Р0CСИЙСКAЯ ФЕДЕРАЦИЯ
621,birth_place,Г. СИБАЙ
1997,birth_date,19.07.1982
1294,passport_id,4957 403109
1340,passport_series,6643
1020,passport_number,610264
1886,passport_number,056556
599,passport_id,9397 665715
1863,passport_series,3793
635,noise,187715
1998,birth_date,21.01.1916
1070,passport_number,170327
1843,firstname,АНЖЕЛИКА
903,passport_number,100152
1431,issued_by,ТЕРРИТОРИАЛЬНЫЙ ОТДЕЛ МВД РОССИИ ПО РЕСПУБЛИКЕ КАЛMЫКИЯ
909,gender,ЖЕН
1113,noise,10.02.2009
603,patronymic,ИГНАТЬЕВИЧ
633,patronymic,ВИКТOРОВНА
1962,surname,САМОЙЛOВ
1952,noise,06.06.2003
1712,firstname,ЕВГЕНИЯ
1240,gender,МУЖ.
1553,birth_place,Г. КРАСНОВИШEРСК
1508,patronymic,АВЕРЬЯНО8ИЧ
65,passport_series,7882
1233,noise,870-657
1341,birth_date,12.04.2002
19,issued_by,OТДЕЛEНИE УФМС РОССИИ ПО ТВЕРCК0Й ОБЛАСТИ
148,noise,МЕСТО ЖИТЕЛЬСТВA
473,gender,ЖЕН
1333,noise,ПАCПОРТ
1445,patronymic,НИЛОВНА
1987,birth_date,23.08.1974
555,passport_number,788599
1557,passport_id,6153 465436
1169,noise,ДАТA ВЫДA4И
1640,passport_series,3440
1063,noise,ПОДПИСЬ ВЛАДЕЛЬЦА
594,issue_date,09.03.2010
1861,issued_by,УПРАВЛЕНИЕ ПО ВОПРОСАМ МИГРАЦNИ МВД РОССИИ ПО КЕМЕРОВСКОЙ ОБЛАСТИ B Г. НОВОКУЗНЕЦК
920,passport_id,4355 054851
1495,birth_place,Г. РУЗА
1615,noise,87.08.1905
1761,birth_place,Г. ПЕРЕСЛАВЛЬ-ЗАЛЕССКИЙ
1122,passport_series,5550
282,surname,БЕЛЯЕВ
566,noise,ОTДЕЛЕНИЕ
655,passport_id,4671 405713
1173,birth_date,27.07.1996
1412,department_code,563-068
1208,birth_date,11.09.2006
1992,birth_date,27-03-1976
131,noise,PNRUS<<<<<<<<<<<
1599,department_code,121-686
782,passport_id,7672378610
947,surname,КУЗНEЦОВА
1986,passport_series,1280
922,passport_id,6030511449
954,noise,ОТДЕЛЕНИЕ
1737,patronymic,ВАЛЕРИАНОВИЧ
1953,passport_number,397167
714,firstname,ВАЛЕРИЯ
451,gender,ЖЕН
1290,department_code,953-678
1972,noise,832-380
1055,department_code,032-178
773,patronymic,ФИЛИППОВНА
1334,department_code,972-239
1521,birth_date,01.06.1973
857,passport_id,8768374580
1843,patronymic,АРKАДЬЕВНА
172,birth_place,Г. НОВОKУЗНЕЦК
760,department_code,103-078
557,passport_number,514115
1078,birth_place,Г. КАНДАЛАКША
830,noise,МЕСТО ЖNТЕЛЬСТВА
1841,birth_place,Г. ПУШКИH
1249,issue_date,17.03.2019
104,passport_number,327525
882,department_code,833-199
310,noise,ПАСПОPТ
520,noise,33.08.2017
516,issued_by,МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО PЕСПУБЛИКЕ КАЛМЫКИЯ
540,noise,ПАСПОРТ
498,firstname,ЕВДОKИЯ
1451,passport_id,6242790757
30,issue_date,16.04.2011
1052,department_code,073-945
977,firstname,КОHDРАТNЙ
1323,passport_id,0187 243502
214,passport_series,2457
669,department_code,853-486
133,birth_place,Г. КИ3ИЛЮРТ
231,passport_id,2976 766021
706,birth_date,25.53.2003
31,firstname,ФЛОРЕНТИН
1206,passport_number,600948
1042,noise,30.09.1929
1789,birth_date,07.06.1995
363,passport_id,8746561768
1898,noise,754-974
1541,issue_date,21.05.2010
1139,firstname,КАЛЛИСТРAТ
725,birth_place,Г- КИНГИСЕПП
624,birth_date,24.02.1970
1403,issued_by,ОТDЕЛ ПОЛIЦИИ УМВД РОССИИ ПО НОВОСИБIРСКОЙ ОБЛАСТИ 8 Г. НОВОСИБИРСК
133,surname,ВИНОГРAДОВ
180,birth_place,Г. ЧЕБАРКУЛЬ
916,noise,719-930
173,patronymic,6ОГДАНОВНА
1427,birth_place,Г. ЛЫСЬВА
939,passport_id,1048232432
1933,birth_place,Г. ЧЕГЕМ
1758,issued_by,ГЛАВНОЕ УПРАВЛЕНИЕ МВД РОCСИI ПО ЛЕНИНГРАДCКOЙ ОБJАСТИ В Г. ГАТЧИНА
752,passport_id,7555509023
1734,passport_id,3178 889213
973,department_code,098-371
676,patronymic,ЖДАНОВНА
566,passport_number,099990
389,department_code,112-045
253,birth_place,Г. РЯЖСК
750,birth_place,Г. БЫКОВО (МЕТEОCТ.)
1178,surname,ГPОМОВА
398,birth_place,Г. АЛДАН
840,passport_id,9077 195677
1589,department_code,811-493
1142,passport_series,4856
244,noise,МЕСТО ЖИТЕЛЬСTВА
1264,passport_series,8320
275,gender,ЖЕН
239,department_code,672-024
578,passport_number,197090
945,birth_date,22.06.1985
361,firstname,РAДИМ
1834,noise,PNRUS<<<<<<<<<<<
1451,passport_id,6242 790758
1258,passport_series,0290
1346,passport_id,7180612544
714,noise,PNRUS<<<<<<<<<<<
1198,birth_place,Г. АJЕКСАНДРOВСК
1344,issue_date,18.09.2005
3,passport_series,9288
1411,passport_number,760050
1891,noise,817241
12,passport_number,290846
1120,passport_series,0238
1902,passport_series,5661
1588,noise,912-461
568,patronymic,КОНСТАНТИНОВНA
1981,department_code,103-339
538,surname,ГУЩIН
1766,passport_number,446006
1424,passport_series,9039
1337,passport_id,3333265606
326,issued_by,ПAСПОРТНО-ВИЗ0ВАЯ CЛУЖБA ОВД ПО КРАСНОЯРСКОМУ КРAЮ В Г. КРАСHОЯРСК
608,birth_place,Г. ВЫTEГPА
1856,noise,13.01.2633
1217,birth_date,07.10.2007
1823,passport_id,2778 506202
1281,birth_date,07.06.1963
1011,passport_number,037745
625,birth_date,09.01.1984
1385,passport_id,7536 384604
561,issue_date,03.08.2017
1711,birth_place,Г. ТОМCК
282,noise,ПОDПIСЬ ВЛАДЕЛЬЦА
1025,passport_series,0678
1957,birth_place,Г. 6ЕЛOКУРИХА
252,surname,КОМАРОВ
722,birth_place,Г. ЗЕЛЕНОГОРСК (ЛЕНИН.)
852,firstname,АВЕРКИЙ
1621,noise,08 01 1910
1444,passport_id,0285398858
1516,passport_number,675440
860,passport_id,7193069583
720,gender,ЖЕН
670,passport_series,2731
761,patronymic,ДАНИЛОВИЧ
19,birth_place,Г. НОВОЧЕРКАССК
537,passport_id,0151 788319
296,passport_number,860451
1403,birth_date,05 01 1969
1122,passport_id,5550063645
351,passport_id,6936565961
51,issue_date,37.05.8006
1146,birth_date,06.08.2003
1386,surname,БЛNНОВ
1356,firstname,EЛИЗАР
1325,passport_number,068639
1604,passport_series,1078
421,passport_number,806641
1557,noise,ПAСПОPТ
348,birth_place,Г. ЮГОРСК
1660,noise,14.07.1952
1617,noise,354036
267,passport_id,6936176259
328,birth_place,Г- ШЕРЕMЕТЬЕBО
892,passport_id,0133258918
943,issue_date,12.10.2019
143,passport_number,381439
112,noise,111-799
424,issue_date,25.11.2009
269,gender,МУЖ
900,birth_place,Г. МАЛГ0БEК
117,birth_date,07.94.1974
1141,birth_date,06.03.1982
172,firstname,ПОТАП
1546,birth_date,21.07.1975
1652,passport_series,3353
333,patronymic,ЛЕОНОВНА
1216,birth_date,05.33.2008
1646,passport_number,714639
1762,issued_by,ТЕРРИТОРИAЛЬНЫЙ ОТДЕЛ МВД РОССИИ ПО РЕСПУБЛИКЕ КАРЕJИЯ В Г. KОНДОПОГА
1382,surname,ВEСЕЛОВА
877,issued_by,ТЕРРИТОPNАЛЬНЫЙ 0ТДЕЛ МВД РОССИИ ПО Н0ВОCИ6ИРCКОЙ ОБЛАСТИ В Г. БЕРДСК
1087,issue_date,19.06.2021
1504,passport_number,456600
567,firstname,АГАФОН
403,department_code,912-512
1965,gender,ЖЕН-
612,birth_date,01.10.1986
1854,noise,671-588
1521,patronymic,TИМУРОВНА
257,passport_id,1149 566780
1909,issue_date,20 05 7006
1057,birth_place,Г. KИ3ИЛЮРТ
571,department_code,031-399
1886,surname,M0РОЗОВ
188,passport_id,9296 963501
1179,passport_series,2594
1913,passport_number,054728
