lastName,firstName,middleName,series,number,birthDate,birthPlace,subdivisionCode,issuedDate,issuingAuthority
Николаев,Натан,Чеславович,48 79,023671,07.06.1997,г. Оренбург,472-403,22.06.2017,Межрайонный отдел УФМС России по Кемеровской области в г. Междуреченск
Денисова,Элеонора,Викторовна,47 49,594311,24.09.1991,г. Амурск,912-425,25.10.2011,Главное управление МВД России по Рязанской области
Степанова,Марфа,Архиповна,66 93,898794,05.08.2000,г. Бомнак,151-628,31.08.2020,Отделение УФМС России по Рязанской области в г. Скопин
Ершова,Фёкла,Наумовна,46 50,069109,03.01.1980,г. Аша,332-957,24.02.2025,Межрайонный отдел УФМС России по Республике Татарстан
Ермаков,Сидор,Феофанович,19 45,028428,12.03.1994,г. Новочеркасск,051-926,13.04.2014,Отделение УФМС России по Тверской области
Давыдова,Василиса,Святославовна,62 61,595895,04.10.1963,г. Краснотурьинск,202-301,25.11.2008,Управление МВД России по Ульяновской области в г. Димитровград
Щукин,Милен,Ефстафьевич,73 70,893280,23.03.1992,г. Прохладный,563-984,10.05.2012,Управление по вопросам миграции МВД России по Республике Дагестан в г. Хасавюрт
Голубев,Панкратий,Анатольевич,52 77,552456,31.12.1969,г. Ялуторовск,743-715,31.01.2015,Отделение по вопросам миграции ОМВД России по Республике Бурятия
Емельянов,Твердислав,Демидович,76 56,037541,05.07.1968,г. Оленек,191-434,09.08.2013,Управление внутренних дел по Пензенской области в г. Заречный
Павлова,Алина,Никифоровна,44 72,449324,29.10.1960,г. Шенкурск,143-381,03.12.2005,Паспортный стол ОВД по Челябинской области
Ильина,Татьяна,Максимовна,65 83,449371,13.03.2002,г. Эльтон,592-256,21.04.2022,Отдел МВД России по Псковской области в г. Великие Луки
Доронина,Фаина,Харитоновна,69 86,973776,28.02.1997,г. Ессентуки,853-956,19.04.2017,Отдел по вопросам миграции МВД России по Тамбовской области в г. Мичуринск
Симонова,Евгения,Макаровна,51 93,284189,06.01.1962,г. Камышлов,912-425,15.02.2007,Управление по вопросам миграции МВД России по г. Калининград по Промышленному району
Жданова,Людмила,Михайловна,85 92,930987,30.05.1986,г. Звенигород,781-214,25.07.2006,Межрайонный отдел УФМС России по Сахалинской области в г. Южно-Сахалинск
Филиппов,Тихон,Ефстафьевич,63 87,379260,23.06.1966,г. Выборг,922-828,31.07.2011,Территориальный отдел МВД России по Республике Мордовия в г. Рузаевка
Логинова,Ксения,Александровна,22 40,376179,23.02.1991,г. Мценск,462-204,16.04.2011,Отдел по вопросам миграции МВД России по Республике Мордовия в г. Саранск
Маслов,Флорентин,Антипович,76 52,699067,07.02.1984,г. Усть-Кулом,891-115,29.03.2004,Отделение по вопросам миграции ОМВД России по Курской области в г. Курск
Авдеев,Федосий,Валентинович,66 38,734139,31.01.1972,г. Вуктыл,423-069,26.02.2017,Отдел полиции УМВД России по Рязанской области в г. Касимов
Маркова,Маргарита,Ниловна,88 79,546647,16.02.2008,г. Златоуст,061-010,17.04.2022,Отдел УФМС России по Брянской области в г. Новозыбков
Осипов,Ростислав,Федосеевич,17 87,312764,27.08.1982,г. Березники,692-664,03.10.2002,Межрайонный отдел УФМС России по Тверской области в г. Кимры
Королев,Порфирий,Федотович,63 96,259211,07.09.2006,г. Кропоткин (Краснод.),542-664,30.09.2020,Управление по вопросам миграции МВД России по Волгоградской области в г. Михайловка
Маркова,Агата,Геннадиевна,13 64,126494,26.01.1998,г. Хасан,162-326,08.02.2018,Главное управление МВД России по Забайкальскому краю в г. Чита
Панов,Евстигней,Матвеевич,77 27,249136,16.11.1983,г. Лагань,753-345,05.12.2003,Главное управление МВД России по Республике Тыва в г. Кызыл
Карпов,Карп,Игнатович,62 45,128517,31.01.1963,г. Нижневартовск,142-116,14.02.2008,Территориальный отдел МВД России по Республике Мордовия в г. Рузаевка
Зиновьева,Антонина,Рудольфовна,97 47,002866,12.05.1985,г. Элиста,131-713,09.07.2005,Отдел УФМС России по Республике Хакасия в г. Абакан
Белякова,Наина,Альбертовна,46 76,037511,30.08.1967,г. Тосно,811-519,15.10.2012,Районный отдел УФМС России по Республике Карелия в г. Сегежа
Жукова,Евдокия,Аскольдовна,82 94,289328,28.08.1986,г. Тарко-Сале,371-347,21.10.2006,Отделение УФМС России по Ямало-Ненецкому автономному округу
Медведева,Тамара,Сергеевна,72 52,967293,16.05.1980,г. Шатура,551-622,11.07.2025,Территориальный отдел МВД России по Республике Марий Эл в г. Йошкар-Ола
Маркова,Акулина,Ефимовна,63 69,794316,03.12.1995,г. Кулунда,221-512,12.01.2016,Районный отдел УФМС России по Республике Марий Эл
Большаков,Фирс,Германович,35 45,045842,02.11.1999,г. Данков,073-578,02.12.2019,Отделение УФМС России по Хабаровскому краю в г. Комсомольск-на-Амуре
Логинов,Петр,Евстигнеевич,64 78,597899,02.10.1984,г. Волгодонск,441-989,23.10.2004,Отдел полиции УМВД России по Новосибирской области
Елисеева,Вера,Рудольфовна,11 69,537781,07.12.1998,г. Волоколамск,451-698,20.01.2019,Паспортный стол ОВД по Мурманской области в г. Мончегорск
Боброва,Эмилия,Харитоновна,15 91,996873,27.08.1990,г. Горячинск,562-916,09.10.2010,Отдел по вопросам миграции МВД России по Хабаровскому краю в г. Хабаровск
Щукин,Александр,Эдгарович,05 30,013902,09.04.1988,г. Воркута,623-961,30.05.2008,Отдел по вопросам миграции МВД России по Иркутской области в г. Братск
Анисимова,Валерия,Васильевна,65 41,265735,16.09.1992,г. Ребриха,302-566,05.10.2012,Территориальный отдел МВД России по Свердловской области в г. Каменск-Уральский
Соколов,Пимен,Глебович,47 64,601233,22.05.1978,г. Грозный,831-716,24.06.2023,Отдел УФМС России по Республике Алтай
Быков,Леонид,Бориславович,45 57,888737,07.04.1961,г. Ковров,852-700,30.05.2006,Отдел УФМС России по Воронежской области в г. Россошь
Елисеев,Пимен,Антипович,47 76,267691,27.05.1992,г. Новокузнецк,391-658,27.06.2012,Отдел УФМС России по Республике Бурятия в г. Улан-Удэ
Исакова,Синклитикия,Григорьевна,34 87,183754,24.02.1973,г. Новосибирск,012-849,23.04.2018,Паспортно-визовая служба ОВД по Тверской области в г. Торжок
Субботина,Синклитикия,Леонидовна,70 46,834847,05.05.1993,г. Томск,572-321,20.06.2013,Управление внутренних дел по Республике Калмыкия в г. Элиста
Петров,Клавдий,Гертрудович,29 83,807319,29.11.1988,г. Вилюйск,083-064,26.12.2008,Паспортно-визовая служба ОВД по Калининградской области в г. Советск
Константинова,Лариса,Филипповна,27 88,271953,03.04.1978,г. Калязин,713-141,25.05.2023,Отдел УФМС России по Республике Саха (Якутия)
Гусева,Наина,Даниловна,54 89,620868,06.02.1961,г. Видное,541-837,24.02.2006,Отдел УФМС России по Рязанской области в г. Скопин
Шубин,Твердислав,Харитонович,04 93,502125,03.07.1973,г. Серпухов,531-412,12.08.2018,Межрайонный отдел УФМС России по Красноярскому краю
Лазарев,Карп,Яковлевич,25 92,080535,03.04.1978,г. Устюжна,752-223,16.05.2023,Отдел УФМС России по Тверской области в г. Кимры
Зыков,Спиридон,Жоресович,93 73,990568,29.05.1968,г. Благовещенск (Амур.),922-593,12.06.2013,Отдел по вопросам миграции ОМВД России по Республике Адыгея в г. Майкоп
Русаков,Арсений,Трифонович,12 43,876336,25.04.1981,г. Избербаш,013-661,07.05.2026,Территориальный отдел МВД России по Ханты-Мансийскому автономному округу — Югре в г. Сургут
Ефимова,Зинаида,Аркадьевна,92 31,125086,28.02.1968,г. Алагир,021-283,29.03.2013,Территориальный отдел МВД России по Республике Тыва
Матвеев,Ульян,Эдуардович,70 39,885193,28.07.1977,г. Завьялиха,901-046,07.09.2022,Отдел по вопросам миграции ОМВД России по Республике Калмыкия в г. Элиста
Баранов,Эдуард,Бориславович,01 59,209000,24.03.1979,г. Геленджик,292-730,16.05.2024,Паспортно-визовая служба ОВД по Костромской области в г. Буй
Гордеев,Гордей,Тимурович,78 82,448462,04.08.1988,г. Борзя,091-302,25.08.2008,Отдел МВД России по Красноярскому краю
Гурьева,Фёкла,Дмитриевна,60 61,048526,14.06.1970,г. Заводоуковск,552-714,27.06.2015,Паспортно-визовая служба ОВД по Костромской области
Белоусов,Евгений,Юлианович,49 95,532930,21.11.1975,г. Кущевская,431-641,28.12.2020,Отдел по вопросам миграции МВД России по Камчатскому краю в г. Петропавловск-Камчатский
Субботина,Полина,Мироновна,55 73,978909,02.09.1979,г. Радужный,093-828,23.10.2024,Отделение по вопросам миграции ОМВД России по Республике Татарстан в г. Казань
Афанасьев,Модест,Фадеевич,63 61,795514,01.06.1977,г. Торжок,883-377,21.07.2022,Управление МВД России по Республике Саха (Якутия) в г. Нерюнгри
Ефимов,Матвей,Григорьевич,47 48,548666,05.04.1995,г. Павловский Посад,543-339,13.05.2015,Районный отдел УФМС России по Республике Калмыкия в г. Элиста
Некрасова,Агата,Степановна,04 62,586146,14.03.1966,г. Ершов,992-023,21.04.2011,Отделение по вопросам миграции ОМВД России по Архангельской области в г. Котлас
Ильин,Руслан,Матвеевич,52 42,505162,15.04.1992,г. Каргасок,143-334,25.04.2012,Управление МВД России по Мурманской области в г. Североморск
Рябова,Нинель,Алексеевна,22 34,115215,04.06.1999,г. Верхний Уфалей,861-281,25.06.2019,Районный отдел УФМС России по Забайкальскому краю в г. Чита
Королева,Элеонора,Эдуардовна,24 71,307818,21.07.1990,г. Ессентуки,171-589,28.08.2010,Управление МВД России по Республике Северная Осетия — Алания в г. Владикавказ
Полякова,Мария,Рудольфовна,69 33,426220,18.07.2001,г. Ельня,383-243,31.07.2021,Отделение УФМС России по Оренбургской области в г. Новотроицк
Доронина,Марфа,Аскольдовна,67 93,081663,25.04.1981,г. Томпа,091-994,27.05.2026,Межрайонный отдел УФМС России по Тамбовской области в г. Тамбов
Денисова,Лариса,Яковлевна,69 67,504450,29.11.2007,г. Волгодонск,451-024,24.01.2022,Отдел по вопросам миграции ОМВД России по Тверской области в г. Торжок
Исаев,Фотий,Александрович,57 37,160123,12.05.2005,г. Плес,563-284,17.06.2025,Территориальный отдел МВД России по г. Челябинск по Индустриальному району
Коновалов,Милен,Валерьянович,81 51,713791,29.04.1981,г. Талдом,481-199,17.05.2026,Отделение по вопросам миграции ОМВД России по Томской области в г. Северск
Васильева,Евпраксия,Вениаминовна,49 47,375754,04.04.1977,г. Мичуринск,573-747,19.05.2022,Районный отдел УФМС России по Кемеровской области
Соболева,Тамара,Матвеевна,33 83,455754,08.09.1985,г. Тюмень,381-729,08.10.2005,Отдел по вопросам миграции МВД России по Волгоградской области в г. Камышин
Горбунова,Нина,Олеговна,84 52,015487,30.07.2000,г. Кетченеры,763-731,27.09.2020,Паспортный стол ОВД по Самарской области
Большакова,Маргарита,Эдуардовна,74 79,273467,26.04.2008,г. Камень-на-Оби,491-697,21.06.2022,Межрайонный отдел УФМС России по Калужской области в г. Людиново
Пахомов,Лазарь,Игнатович,03 76,560854,06.12.1972,г. Ирбит,511-713,08.01.2018,Управление МВД России по Московской области
Никифорова,Ольга,Андреевна,40 63,607288,30.03.1988,г. Апатиты,201-890,27.05.2008,Отдел МВД России по Тульской области в г. Донской
Федотова,Вероника,Матвеевна,07 48,939169,17.09.1995,г. Борзя,413-663,11.11.2015,Главное управление МВД России по Республике Башкортостан
Беспалова,Марина,Яковлевна,53 52,056378,21.11.1971,г. Усть-Камчатск,361-922,05.12.2016,Отдел по вопросам миграции ОМВД России по Краснодарскому краю в г. Краснодар
Тихонова,Кира,Болеславовна,03 64,265597,23.11.1975,г. Бодайбо,762-838,19.12.2020,Отдел полиции УМВД России по Республике Тыва в г. Кызыл
Калинина,Фаина,Викторовна,25 59,653792,24.04.1988,г. Старая Русса,202-121,13.05.2008,Управление МВД России по Саратовской области
Прохорова,Ксения,Евгеньевна,11 94,052158,29.03.1967,г. Катайск,883-074,24.04.2012,Отдел МВД России по Рязанской области
Тетерин,Станислав,Матвеевич,68 83,976756,10.02.2007,г. Ведено,102-941,05.03.2021,Паспортно-визовая служба ОВД по Тюменской области
Яковлев,Савватий,Ануфриевич,06 51,527782,13.05.1985,г. Биробиджан,592-103,25.06.2005,Межрайонный отдел УФМС России по Карачаево-Черкесской Республике
Жданов,Максим,Филатович,65 77,828699,30.01.1987,г. Кизел,072-503,15.02.2007,Отдел полиции УМВД России по Волгоградской области в г. Михайловка
Силина,Милица,Геннадиевна,52 42,153459,24.10.1998,г. Советский,743-615,03.11.2018,Главное управление МВД России по Камчатскому краю
Калашникова,Нина,Васильевна,86 48,342745,03.09.1993,г. Оленегорск (Якут.),033-326,24.10.2013,Паспортный стол ОВД по Смоленской области в г. Вязьма
Муравьев,Чеслав,Феофанович,29 71,654232,12.09.1990,г. Боровск,672-313,20.10.2010,Управление по вопросам миграции МВД России по Чеченской Республике
Мухин,Мокей,Ефимьевич,63 39,741197,26.03.2001,г. Карабудахкент,641-180,29.04.2021,Отдел полиции УМВД России по Республике Ингушетия в г. Магас
Лыткин,Исай,Валерьянович,36 95,189751,26.04.1979,г. Благовещенск (Амур.),111-052,01.06.2024,Отдел МВД России по Нижегородской области в г. Саров
Журавлева,Ксения,Рубеновна,88 86,028114,14.02.1981,г. Курган,443-705,13.04.2026,Межрайонный отдел УФМС России по Забайкальскому краю
Силина,Фаина,Сергеевна,34 84,421087,24.08.1977,г. Нижний Тагил,882-015,13.10.2022,Главное управление МВД России по Омской области в г. Исилькуль
Ильина,Ираида,Тимофеевна,40 79,754078,15.09.1982,г. Таштагол,901-425,24.10.2002,Межрайонный отдел УФМС России по Пензенской области в г. Пенза
Андреев,Аристарх,Борисович,47 43,238637,08.12.1991,г. Волгодонск,681-503,01.02.2012,Отделение УФМС России по Свердловской области
Белякова,Лора,Александровна,24 51,847465,29.03.2003,г. Углегорск,031-899,24.05.2023,Управление внутренних дел по Московской области в г. Одинцово
Воронцова,Олимпиада,Геннадиевна,21 77,327520,16.09.1997,г. Рубцовск,083-077,03.11.2017,Отдел полиции УМВД России по Волгоградской области в г. Михайловка
Данилов,Остромир,Фокич,88 56,365195,21.09.1997,г. Кош-Агач,583-984,27.10.2017,Паспортно-визовая служба ОВД по Калининградской области
Чернова,Виктория,Степановна,49 72,776081,13.10.1967,г. Апшеронск,103-648,02.12.2012,Управление внутренних дел по Калининградской области
Терентьев,Тарас,Анисимович,30 62,605183,21.06.1960,г. Ачинск,392-875,11.08.2005,Отдел по вопросам миграции ОМВД России по Краснодарскому краю в г. Геленджик
Лаврентьев,Рубен,Гавриилович,98 52,935059,03.04.2008,г. Архыз,641-842,26.04.2022,Паспортный стол ОВД по Еврейской автономной области
Блохина,Агафья,Матвеевна,63 29,628568,19.10.1999,г. Псебай,263-293,16.11.2019,Отдел полиции УМВД России по Мурманской области
Ширяев,Святополк,Даниилович,92 89,584993,19.03.1961,г. Мичуринск,702-872,06.05.2006,Районный отдел УФМС России по Самарской области
Котов,Ананий,Анисимович,65 27,603083,29.04.1982,г. Меренга,753-017,14.06.2002,Отделение УФМС России по Мурманской области в г. Апатиты
Воронцов,Парамон,Еремеевич,34 60,754039,19.08.1998,г. Теберда,052-331,29.08.2018,Отдел УФМС России по Тамбовской области
Федоров,Рубен,Марсович,37 27,427440,15.02.1969,г. Славянск-на-Кубани,612-063,09.04.2014,Отдел МВД России по Алтайскому краю в г. Бийск
Копылова,Олимпиада,Ниловна,79 33,983206,21.11.1976,г. Кизляр,712-103,09.01.2022,Управление по вопросам миграции МВД России по Псковской области в г. Великие Луки
Фролова,Наталья,Анатольевна,68 49,401194,21.04.1977,г. Середниково,861-804,27.05.2022,Отдел УФМС России по Ярославской области
Молчанов,Лукьян,Феодосьевич,31 48,432308,04.09.1998,г. Шаховская,921-841,18.09.2018,Главное управление МВД России по Ульяновской области в г. Ульяновск
Королева,Зинаида,Тарасовна,90 81,468242,07.04.1974,г. Елатьма,503-765,16.05.2019,Отдел по вопросам миграции ОМВД России по г. Омск по Индустриальному району
Кудрявцева,Александра,Федоровна,70 32,273582,16.07.1992,г. Челябинск,342-395,29.08.2012,Управление МВД России по Тверской области в г. Вышний Волочёк
Рогов,Валентин,Феликсович,47 90,932364,27.01.1989,г. Вендинга,102-823,22.02.2009,Районный отдел УФМС России по Новосибирской области в г. Новосибирск
Вишняков,Варлаам,Арсеньевич,56 83,608992,17.07.1981,г. Старый Оскол,142-312,30.08.2026,Управление внутренних дел по Чеченской Республике
Горбунова,Тамара,Архиповна,83 92,166905,07.09.1988,г. Надым,031-003,04.10.2008,Отделение по вопросам миграции ОМВД России по г. Калининград по Индустриальному району
Беспалова,Регина,Аскольдовна,60 54,859744,07.11.1994,г. Мончегорск,821-499,27.11.2014,Отделение УФМС России по Республике Хакасия
Волкова,София,Матвеевна,57 86,941014,15.10.1973,г. Алагир,343-123,06.12.2018,Управление МВД России по Воронежской области
Филатова,Акулина,Леоновна,76 32,819095,16.11.1968,г. Стерлитамак,702-118,17.12.2013,Отдел по вопросам миграции МВД России по Костромской области в г. Шарья
Пестова,Дарья,Ждановна,67 40,118093,15.07.2006,г. Красноуфимск,052-235,27.07.2020,Паспортно-визовая служба ОВД по Калужской области
Пестов,Владилен,Федосьевич,90 63,031038,11.03.1986,г. Домбай,692-475,21.04.2006,Отдел по вопросам миграции ОМВД России по Красноярскому краю
Лыткин,Анисим,Викторович,72 88,635318,28.09.1960,г. Железногорск(Курск.),461-849,25.10.2005,Территориальный отдел МВД России по Магаданской области в г. Магадан
Сазонов,Давыд,Антипович,30 58,217988,14.12.1979,г. Мурманск,183-853,05.01.2025,Районный отдел УФМС России по Республике Башкортостан в г. Октябрьский
Борисов,Сидор,Измаилович,45 37,617153,28.05.1990,г. Обоянь,253-476,09.06.2010,Отдел по вопросам миграции МВД России по Приморскому краю
Молчанов,Поликарп,Фёдорович,10 60,554270,04.04.1971,г. Усть-Катав,762-888,10.05.2016,Управление МВД России по Республике Крым
Никифорова,Евгения,Макаровна,32 89,555938,25.02.1973,г. Сусуман,652-450,23.04.2018,Отделение УФМС России по Республике Калмыкия
Боброва,Феврония,Андреевна,51 47,751373,22.11.1981,г. Катав-Ивановск,392-535,11.01.2027,Отдел по вопросам миграции МВД России по Республике Марий Эл в г. Йошкар-Ола
Виноградов,Феликс,Игоревич,64 92,037939,26.05.1988,г. Кизилюрт,662-761,18.06.2008,Управление МВД России по Вологодской области в г. Череповец
Максимова,Наталья,Антоновна,77 76,322963,07.08.2002,г. Советский,243-945,02.09.2022,Управление по вопросам миграции МВД России по Липецкой области
Белов,Виссарион,Германович,34 59,358345,29.11.1965,г. Томпа,932-175,08.01.2011,Управление внутренних дел по Республике Башкортостан в г. Салават
Никонов,Радован,Фёдорович,56 69,184007,02.07.1961,г. Ступино,081-269,25.07.2006,Районный отдел УФМС России по Ульяновской области
Горшкова,Маргарита,Кузьминична,49 85,628150,13.07.1989,г. Сладково,281-153,09.09.2009,Отдел по вопросам миграции ОМВД России по Карачаево-Черкесской Республике
Боброва,Дарья,Александровна,71 85,873457,15.12.1967,г. Губкинский,381-224,27.12.2012,Отдел по вопросам миграции МВД России по Ульяновской области
Вишнякова,Наталья,Яковлевна,86 32,399135,28.02.1969,г. Саров (Морд.),963-109,13.04.2014,Территориальный отдел МВД России по Липецкой области
Медведев,Август,Гаврилович,21 93,130805,10.01.1981,г. Кондопога,423-932,20.01.2026,Отдел по вопросам миграции МВД России по Пензенской области в г. Пенза
Беспалова,Тамара,Ниловна,59 50,255301,23.05.1966,г. Шерегеш,562-210,29.06.2011,Территориальный отдел МВД России по Архангельской области
Карпов,Селиван,Фёдорович,51 48,387977,11.07.1970,г. Люберцы,823-060,04.09.2015,Межрайонный отдел УФМС России по Красноярскому краю
Евсеев,Эраст,Алексеевич,97 53,381039,28.07.2004,г. Владивосток,743-417,07.08.2024,Районный отдел УФМС России по г. Волгоград по Октябрьскому району
Логинова,Лариса,Никифоровна,53 67,643543,26.02.2005,г. Черкесск,011-057,17.03.2025,Территориальный отдел МВД России по Алтайскому краю
Аксенова,Виктория,Мироновна,18 87,409174,28.10.1998,г. Долинск,432-907,22.12.2018,Отделение УФМС России по Республике Татарстан в г. Альметьевск
Савельев,Сильвестр,Борисович,19 95,655263,02.05.1982,г. Ростов,113-224,15.06.2002,Отдел полиции УМВД России по г. Севастополю
Рыбаков,Радим,Брониславович,46 95,336155,18.09.1968,г. Хатанга,943-738,28.09.2013,Главное управление МВД России по Рязанской области
Силин,Силантий,Еремеевич,97 35,314660,21.07.1995,г. Мокшан,073-358,03.08.2015,Паспортный стол ОВД по Республике Марий Эл в г. Йошкар-Ола
Прохоров,Доброслав,Чеславович,36 79,414089,11.08.2004,"г. Москва, МГУ",531-681,10.09.2024,Территориальный отдел МВД России по Карачаево-Черкесской Республике
Тетерина,Варвара,Георгиевна,93 79,743292,27.01.1962,г. Ялуторовск,112-075,19.03.2007,Территориальный отдел МВД России по Вологодской области
Пестов,Валерьян,Васильевич,26 81,741671,05.01.2001,г. Стерлитамак,023-691,16.02.2021,Межрайонный отдел УФМС России по г. Челябинск по Курчатовскому району
Зайцев,Юлиан,Викторович,46 54,892929,09.11.1971,г. Артем,891-623,07.01.2017,Отделение УФМС России по г. Новосибирск по Центральному району
Блохин,Трофим,Теймуразович,13 67,106349,07.10.1987,г. Рязань,823-047,26.10.2007,Отделение УФМС России по Московской области в г. Одинцово
Самойлова,Раиса,Тимофеевна,76 54,509019,27.12.2001,г. Соболево,321-567,14.01.2022,Управление МВД России по Алтайскому краю
Бирюков,Ананий,Иларионович,65 41,880649,28.02.1979,г. Шелехов,682-658,12.03.2024,Отдел по вопросам миграции МВД России по Кемеровской области в г. Ленинск-Кузнецкий
Воронов,Лукьян,Вилорович,62 48,349568,10.03.1978,г. Усть-Баргузин,203-052,31.03.2023,Межрайонный отдел УФМС России по г. Ростов-на-Дону по Кировскому району
Брагин,Милий,Феодосьевич,80 43,729954,26.05.1963,г. Ахтубинск,912-661,16.06.2008,Отделение УФМС России по Свердловской области в г. Екатеринбург
Селезнев,Ипат,Елисеевич,37 32,016347,17.10.1974,г. Беломорск,432-522,03.11.2019,Главное управление МВД России по Астраханской области в г. Ахтубинск
Большаков,Демид,Елисеевич,83 46,278784,19.06.1988,г. Бугуруслан,053-523,25.07.2008,Территориальный отдел МВД России по Новосибирской области в г. Куйбышев
Жданова,Антонина,Семеновна,81 96,683568,06.02.2004,г. Калининград,393-080,22.03.2024,Отдел УФМС России по Карачаево-Черкесской Республике в г. Черкесск
Беляева,Дарья,Геннадьевна,27 56,135209,27.07.1973,г. Мценск,253-793,18.09.2018,Главное управление МВД России по Республике Коми в г. Сыктывкар
Суханова,Елизавета,Федоровна,59 81,831941,21.02.1998,г. Красная Поляна,963-493,14.04.2018,Паспортный стол ОВД по Тульской области в г. Тула
Волкова,Алла,Феликсовна,02 47,791005,23.04.1988,г. Люберцы,293-286,06.05.2008,Управление МВД России по Приморскому краю в г. Артём
Селиверстов,Агап,Федотович,45 81,658998,05.06.2003,г. Бодайбо,421-150,26.07.2023,Управление внутренних дел по Республике Карелия
Харитонова,Алевтина,Альбертовна,06 75,591053,27.07.1968,г. Урай,652-894,16.08.2013,Управление по вопросам миграции МВД России по Нижегородской области в г. Арзамас
Доронин,Сидор,Феодосьевич,53 31,664686,05.10.1983,г. Игарка,263-606,02.11.2003,Отдел МВД России по Республике Мордовия в г. Саранск
Кондратьева,Ирина,Георгиевна,30 88,982475,11.11.1989,г. Улан-Удэ,723-489,09.01.2010,Паспортный стол ОВД по Чувашской Республике в г. Чебоксары
Прохоров,Авксентий,Аверьянович,81 70,746542,25.10.1969,г. Боровск,283-386,06.11.2014,Управление внутренних дел по Еврейской автономной области в г. Биробиджан
Егоров,Степан,Ефимьевич,40 39,142915,29.05.1961,г. Борзя,013-011,23.07.2006,Районный отдел УФМС России по г. Севастополю
Зиновьева,Василиса,Ильинична,29 30,618945,27.11.1984,г. Ясный (Оренб.),493-971,15.01.2005,Главное управление МВД России по Республике Дагестан в г. Каспийск
Суханова,София,Ивановна,05 74,468502,27.03.1965,г. Яшкуль,801-629,13.05.2010,Отдел МВД России по Ивановской области в г. Иваново
Муравьев,Потап,Артурович,21 92,996506,02.10.2003,г. Новокузнецк,362-940,30.11.2023,Отдел по вопросам миграции МВД России по Магаданской области в г. Магадан
Суханова,Евгения,Богдановна,91 67,255275,10.04.2001,г. Муром,192-898,04.06.2021,Территориальный отдел МВД России по Республике Северная Осетия — Алания
Карпов,Самуил,Теймуразович,80 42,166592,31.10.1992,г. Юрьевец (Иван.),411-038,17.12.2012,Отделение по вопросам миграции ОМВД России по Тверской области
Смирнов,Прохор,Григорьевич,45 51,788706,02.05.1992,г. Армавир,572-507,26.05.2012,Межрайонный отдел УФМС России по Пензенской области
Ильина,Пелагея,Тимофеевна,29 57,771882,11.09.1962,г. Апрелевка,532-324,29.09.2007,Отдел по вопросам миграции ОМВД России по Волгоградской области в г. Волжский
Хохлова,Екатерина,Ефимовна,65 82,619429,11.03.1974,г. Кандалакша,642-914,19.04.2019,Управление МВД России по Ямало-Ненецкому автономному округу в г. Ноябрьск
Комаров,Всеволод,Ааронович,76 45,224067,13.06.1963,г. Чита,082-413,29.07.2008,Отдел МВД России по Республике Крым
Терентьев,Адриан,Яковлевич,54 33,035969,09.12.1971,г. Армавир,853-499,20.12.2016,Главное управление МВД России по Чувашской Республике в г. Канаш
Осипов,Олег,Матвеевич,47 32,803393,08.12.1974,г. Чебаркуль,363-988,25.01.2020,Отдел УФМС России по Сахалинской области
